study.ID,study,species,treatment,control,N,n,turbine.kW,n.turbines,duration.yrs
10,"Phillips, J. F. (1994). The effects of a windfarm on the upland breeding bird communities of Bryn Titli, mid-Wales: 1993-1994. Newtown, RSPB",Alauda arvensis,15.1666667,14.875,4,14,450,22,1
10,"Phillips, J. F. (1994). The effects of a windfarm on the upland breeding bird communities of Bryn Titli, mid-Wales: 1993-1994. Newtown, RSPB","Anthus	pratensis",35.6666667,44.75,4,14,450,22,1
11,"Schmidt, E. P., Bock, C. E.; Armstrong, D. M. (2003). National Wind Technology Center Site Environmental Assessment: Bird and Bat Use and Fatalities -- Final Report; Period of Performance: April 23, 2001 -- December 31, 2002","Turdus	migratorius",0.00001,0.002,2,18,175,1,1
11,"Schmidt, E. P., Bock, C. E.; Armstrong, D. M. (2003). National Wind Technology Center Site Environmental Assessment: Bird and Bat Use and Fatalities -- Final Report; Period of Performance: April 23, 2001 -- December 31, 2002","Pipilo	maculatus",0.00001,0.002,2,18,175,1,1
11,"Schmidt, E. P., Bock, C. E.; Armstrong, D. M. (2003). National Wind Technology Center Site Environmental Assessment: Bird and Bat Use and Fatalities -- Final Report; Period of Performance: April 23, 2001 -- December 31, 2002","Spizella	passerina",0.00001,0.002,2,18,175,1,1
11,"Schmidt, E. P., Bock, C. E.; Armstrong, D. M. (2003). National Wind Technology Center Site Environmental Assessment: Bird and Bat Use and Fatalities -- Final Report; Period of Performance: April 23, 2001 -- December 31, 2002","Calamospiza	melanocorys",0.00001,0.002,2,18,175,1,1
11,"Schmidt, E. P., Bock, C. E.; Armstrong, D. M. (2003). National Wind Technology Center Site Environmental Assessment: Bird and Bat Use and Fatalities -- Final Report; Period of Performance: April 23, 2001 -- December 31, 2002","Passerculus	sandwichensis",0.00001,0.002,2,18,175,1,1
11,"Schmidt, E. P., Bock, C. E.; Armstrong, D. M. (2003). National Wind Technology Center Site Environmental Assessment: Bird and Bat Use and Fatalities -- Final Report; Period of Performance: April 23, 2001 -- December 31, 2002","Guiraca	caerulea",0.00001,0.002,2,18,175,1,1
11,"Schmidt, E. P., Bock, C. E.; Armstrong, D. M. (2003). National Wind Technology Center Site Environmental Assessment: Bird and Bat Use and Fatalities -- Final Report; Period of Performance: April 23, 2001 -- December 31, 2002","Icterus	bullockii",0.00001,0.002,2,18,175,1,1
11,"Schmidt, E. P., Bock, C. E.; Armstrong, D. M. (2003). National Wind Technology Center Site Environmental Assessment: Bird and Bat Use and Fatalities -- Final Report; Period of Performance: April 23, 2001 -- December 31, 2002",Branta canadensis ,0.00001,0.004,2,18,175,1,1
11,"Schmidt, E. P., Bock, C. E.; Armstrong, D. M. (2003). National Wind Technology Center Site Environmental Assessment: Bird and Bat Use and Fatalities -- Final Report; Period of Performance: April 23, 2001 -- December 31, 2002","Tyrannus	verticalis",0.00001,0.004,2,18,175,1,1
11,"Schmidt, E. P., Bock, C. E.; Armstrong, D. M. (2003). National Wind Technology Center Site Environmental Assessment: Bird and Bat Use and Fatalities -- Final Report; Period of Performance: April 23, 2001 -- December 31, 2002",Haliaeetus leucocephalus ,0.00001,0.007,2,18,175,1,1
11,"Schmidt, E. P., Bock, C. E.; Armstrong, D. M. (2003). National Wind Technology Center Site Environmental Assessment: Bird and Bat Use and Fatalities -- Final Report; Period of Performance: April 23, 2001 -- December 31, 2002","Euphagus	cyanocephalus",0.00001,0.009,2,18,175,1,1
11,"Schmidt, E. P., Bock, C. E.; Armstrong, D. M. (2003). National Wind Technology Center Site Environmental Assessment: Bird and Bat Use and Fatalities -- Final Report; Period of Performance: April 23, 2001 -- December 31, 2002","Molothrus	ater",0.00001,0.016,2,18,175,1,1
11,"Schmidt, E. P., Bock, C. E.; Armstrong, D. M. (2003). National Wind Technology Center Site Environmental Assessment: Bird and Bat Use and Fatalities -- Final Report; Period of Performance: April 23, 2001 -- December 31, 2002","Sialia	currucoides",0.00001,0.022,2,18,175,1,1
11,"Schmidt, E. P., Bock, C. E.; Armstrong, D. M. (2003). National Wind Technology Center Site Environmental Assessment: Bird and Bat Use and Fatalities -- Final Report; Period of Performance: April 23, 2001 -- December 31, 2002","Chondestes	grammacus",0.00001,0.04,2,18,175,1,1
11,"Schmidt, E. P., Bock, C. E.; Armstrong, D. M. (2003). National Wind Technology Center Site Environmental Assessment: Bird and Bat Use and Fatalities -- Final Report; Period of Performance: April 23, 2001 -- December 31, 2002","Falco	peregrinus",0.004,0.00001,2,18,175,1,1
11,"Schmidt, E. P., Bock, C. E.; Armstrong, D. M. (2003). National Wind Technology Center Site Environmental Assessment: Bird and Bat Use and Fatalities -- Final Report; Period of Performance: April 23, 2001 -- December 31, 2002","Pipilo	chlorurus",0.004,0.00001,2,18,175,1,1
11,"Schmidt, E. P., Bock, C. E.; Armstrong, D. M. (2003). National Wind Technology Center Site Environmental Assessment: Bird and Bat Use and Fatalities -- Final Report; Period of Performance: April 23, 2001 -- December 31, 2002","Falco	mexicanus",0.004,0.002,2,18,175,1,1
11,"Schmidt, E. P., Bock, C. E.; Armstrong, D. M. (2003). National Wind Technology Center Site Environmental Assessment: Bird and Bat Use and Fatalities -- Final Report; Period of Performance: April 23, 2001 -- December 31, 2002",Aquila chrysaetos ,0.004,0.011,2,18,175,1,1
11,"Schmidt, E. P., Bock, C. E.; Armstrong, D. M. (2003). National Wind Technology Center Site Environmental Assessment: Bird and Bat Use and Fatalities -- Final Report; Period of Performance: April 23, 2001 -- December 31, 2002","Buteo	lagopus",0.004,0.013,2,18,175,1,1
11,"Schmidt, E. P., Bock, C. E.; Armstrong, D. M. (2003). National Wind Technology Center Site Environmental Assessment: Bird and Bat Use and Fatalities -- Final Report; Period of Performance: April 23, 2001 -- December 31, 2002","Buteo	regalis",0.004,0.016,2,18,175,1,1
11,"Schmidt, E. P., Bock, C. E.; Armstrong, D. M. (2003). National Wind Technology Center Site Environmental Assessment: Bird and Bat Use and Fatalities -- Final Report; Period of Performance: April 23, 2001 -- December 31, 2002","Agelaius	phoeniceus",0.004,0.042,2,18,175,1,1
11,"Schmidt, E. P., Bock, C. E.; Armstrong, D. M. (2003). National Wind Technology Center Site Environmental Assessment: Bird and Bat Use and Fatalities -- Final Report; Period of Performance: April 23, 2001 -- December 31, 2002","Hirundo	rustica",0.009,0.042,2,18,175,1,1
11,"Schmidt, E. P., Bock, C. E.; Armstrong, D. M. (2003). National Wind Technology Center Site Environmental Assessment: Bird and Bat Use and Fatalities -- Final Report; Period of Performance: April 23, 2001 -- December 31, 2002",Anas platyrhynchos ,0.013,0.00001,2,18,175,1,1
11,"Schmidt, E. P., Bock, C. E.; Armstrong, D. M. (2003). National Wind Technology Center Site Environmental Assessment: Bird and Bat Use and Fatalities -- Final Report; Period of Performance: April 23, 2001 -- December 31, 2002",Cathartes aura ,0.013,0.016,2,18,175,1,1
11,"Schmidt, E. P., Bock, C. E.; Armstrong, D. M. (2003). National Wind Technology Center Site Environmental Assessment: Bird and Bat Use and Fatalities -- Final Report; Period of Performance: April 23, 2001 -- December 31, 2002","Corvus	corax",0.013,0.076,2,18,175,1,1
11,"Schmidt, E. P., Bock, C. E.; Armstrong, D. M. (2003). National Wind Technology Center Site Environmental Assessment: Bird and Bat Use and Fatalities -- Final Report; Period of Performance: April 23, 2001 -- December 31, 2002","Petrochelidon	pyrrhonota",0.018,0.142,2,18,175,1,1
11,"Schmidt, E. P., Bock, C. E.; Armstrong, D. M. (2003). National Wind Technology Center Site Environmental Assessment: Bird and Bat Use and Fatalities -- Final Report; Period of Performance: April 23, 2001 -- December 31, 2002","Quiscalus	quiscula",0.022,0.00001,2,18,175,1,1
11,"Schmidt, E. P., Bock, C. E.; Armstrong, D. M. (2003). National Wind Technology Center Site Environmental Assessment: Bird and Bat Use and Fatalities -- Final Report; Period of Performance: April 23, 2001 -- December 31, 2002","Carduelis	tristis",0.022,0.049,2,18,175,1,1
11,"Schmidt, E. P., Bock, C. E.; Armstrong, D. M. (2003). National Wind Technology Center Site Environmental Assessment: Bird and Bat Use and Fatalities -- Final Report; Period of Performance: April 23, 2001 -- December 31, 2002","Eremophila	alpestris",0.022,0.36,2,18,175,1,1
11,"Schmidt, E. P., Bock, C. E.; Armstrong, D. M. (2003). National Wind Technology Center Site Environmental Assessment: Bird and Bat Use and Fatalities -- Final Report; Period of Performance: April 23, 2001 -- December 31, 2002",Circus cyaneus ,0.027,0.027,2,18,175,1,1
11,"Schmidt, E. P., Bock, C. E.; Armstrong, D. M. (2003). National Wind Technology Center Site Environmental Assessment: Bird and Bat Use and Fatalities -- Final Report; Period of Performance: April 23, 2001 -- December 31, 2002","Sayornis	saya",0.031,0.011,2,18,175,1,1
11,"Schmidt, E. P., Bock, C. E.; Armstrong, D. M. (2003). National Wind Technology Center Site Environmental Assessment: Bird and Bat Use and Fatalities -- Final Report; Period of Performance: April 23, 2001 -- December 31, 2002","Ammodramus	savannarum",0.04,0.06,2,18,175,1,1
11,"Schmidt, E. P., Bock, C. E.; Armstrong, D. M. (2003). National Wind Technology Center Site Environmental Assessment: Bird and Bat Use and Fatalities -- Final Report; Period of Performance: April 23, 2001 -- December 31, 2002","Pica	hudsonia",0.053,0.049,2,18,175,1,1
11,"Schmidt, E. P., Bock, C. E.; Armstrong, D. M. (2003). National Wind Technology Center Site Environmental Assessment: Bird and Bat Use and Fatalities -- Final Report; Period of Performance: April 23, 2001 -- December 31, 2002",Buteo jamaicensis ,0.062,0.069,2,18,175,1,1
11,"Schmidt, E. P., Bock, C. E.; Armstrong, D. M. (2003). National Wind Technology Center Site Environmental Assessment: Bird and Bat Use and Fatalities -- Final Report; Period of Performance: April 23, 2001 -- December 31, 2002","Sturnus	vulgaris",0.067,0.027,2,18,175,1,1
11,"Schmidt, E. P., Bock, C. E.; Armstrong, D. M. (2003). National Wind Technology Center Site Environmental Assessment: Bird and Bat Use and Fatalities -- Final Report; Period of Performance: April 23, 2001 -- December 31, 2002","Falco	sparverius",0.16,0.078,2,18,175,1,1
11,"Schmidt, E. P., Bock, C. E.; Armstrong, D. M. (2003). National Wind Technology Center Site Environmental Assessment: Bird and Bat Use and Fatalities -- Final Report; Period of Performance: April 23, 2001 -- December 31, 2002","Pooecetes	gramineus",0.751,1.022,2,18,175,1,1
11,"Schmidt, E. P., Bock, C. E.; Armstrong, D. M. (2003). National Wind Technology Center Site Environmental Assessment: Bird and Bat Use and Fatalities -- Final Report; Period of Performance: April 23, 2001 -- December 31, 2002","Sturnella	neglecta",0.853,0.776,2,18,175,1,1
12,"Still, D., B. Little, et al. (1996). The effect of wind turbines on the bird population at Blyth harbour. [Harwell], ETSU.",Somateria mollissima,39,98,1,4,300,9,2
12,"Still, D., B. Little, et al. (1996). The effect of wind turbines on the bird population at Blyth harbour. [Harwell], ETSU.",Calidris maritima,137,150,1,4,300,9,2
13,"Winkelman, J. E. (1992). De invloed van de Sep-windproefcentrale te Oosterbierum (Fr.) op vogels. 4. Verstoring [The impact of the Sep wind park near Oosterbierum(Fr.), the Netherlands on birds. 4. Disturbance], Netherlands. Instituut voor Bos- en Natuuronderzoek. (translated by Harma Brondijk)",Aythya fuligula ,0.00001,8.3125,1,20,300,9,2
13,"Winkelman, J. E. (1992). De invloed van de Sep-windproefcentrale te Oosterbierum (Fr.) op vogels. 4. Verstoring [The impact of the Sep wind park near Oosterbierum(Fr.), the Netherlands on birds. 4. Disturbance], Netherlands. Instituut voor Bos- en Natuuronderzoek. (translated by Harma Brondijk)",Fulica atra ,0.0665,254.60017,1,20,300,9,2
13,"Winkelman, J. E. (1992). De invloed van de Sep-windproefcentrale te Oosterbierum (Fr.) op vogels. 4. Verstoring [The impact of the Sep wind park near Oosterbierum(Fr.), the Netherlands on birds. 4. Disturbance], Netherlands. Instituut voor Bos- en Natuuronderzoek. (translated by Harma Brondijk)",Anas penelope ,0.37125,277.87875,1,20,300,9,2
13,"Winkelman, J. E. (1992). De invloed van de Sep-windproefcentrale te Oosterbierum (Fr.) op vogels. 4. Verstoring [The impact of the Sep wind park near Oosterbierum(Fr.), the Netherlands on birds. 4. Disturbance], Netherlands. Instituut voor Bos- en Natuuronderzoek. (translated by Harma Brondijk)",Numenius arquata ,0.5584333,114.6749,1,20,300,9,2
13,"Winkelman, J. E. (1992). De invloed van de Sep-windproefcentrale te Oosterbierum (Fr.) op vogels. 4. Verstoring [The impact of the Sep wind park near Oosterbierum(Fr.), the Netherlands on birds. 4. Disturbance], Netherlands. Instituut voor Bos- en Natuuronderzoek. (translated by Harma Brondijk)",Haematopus ostralegus ,10.309875,180.87763,1,20,300,9,2
13,"Winkelman, J. E. (1992). De invloed van de Sep-windproefcentrale te Oosterbierum (Fr.) op vogels. 4. Verstoring [The impact of the Sep wind park near Oosterbierum(Fr.), the Netherlands on birds. 4. Disturbance], Netherlands. Instituut voor Bos- en Natuuronderzoek. (translated by Harma Brondijk)",Pluvialis apricaria ,10.533533,630.46647,1,20,300,9,2
13,"Winkelman, J. E. (1992). De invloed van de Sep-windproefcentrale te Oosterbierum (Fr.) op vogels. 4. Verstoring [The impact of the Sep wind park near Oosterbierum(Fr.), the Netherlands on birds. 4. Disturbance], Netherlands. Instituut voor Bos- en Natuuronderzoek. (translated by Harma Brondijk)",Vanellus vanellus ,15.392233,520.6411,1,20,300,9,2
13,"Winkelman, J. E. (1992). De invloed van de Sep-windproefcentrale te Oosterbierum (Fr.) op vogels. 4. Verstoring [The impact of the Sep wind park near Oosterbierum(Fr.), the Netherlands on birds. 4. Disturbance], Netherlands. Instituut voor Bos- en Natuuronderzoek. (translated by Harma Brondijk)",Anas platyrhynchos ,24.536633,346.8967,1,20,300,9,2
13,"Winkelman, J. E. (1992). De invloed van de Sep-windproefcentrale te Oosterbierum (Fr.) op vogels. 4. Verstoring [The impact of the Sep wind park near Oosterbierum(Fr.), the Netherlands on birds. 4. Disturbance], Netherlands. Instituut voor Bos- en Natuuronderzoek. (translated by Harma Brondijk)",Sturnus vulgaris ,84.715867,647.0508,1,20,300,9,2
14,"Winkelman, J. E. (1989). Birds and the wind park near Urk: collision victims and disturbance of ducks, geese and swans. Arnhem, The Netherlands, Rijksinstituut voor Natuurbeheer.",Aythya ferina ,0.233333,0.9,2,4,300,18,1
14,"Winkelman, J. E. (1989). Birds and the wind park near Urk: collision victims and disturbance of ducks, geese and swans. Arnhem, The Netherlands, Rijksinstituut voor Natuurbeheer.",Aythya fuligula ,0.733333,1.6,2,4,300,18,1
14,"Winkelman, J. E. (1989). Birds and the wind park near Urk: collision victims and disturbance of ducks, geese and swans. Arnhem, The Netherlands, Rijksinstituut voor Natuurbeheer.",Bucephala clangula ,0.875,2.225,2,4,300,18,1
14,"Winkelman, J. E. (1989). Birds and the wind park near Urk: collision victims and disturbance of ducks, geese and swans. Arnhem, The Netherlands, Rijksinstituut voor Natuurbeheer.",Fulica atra ,1.18,0.96,2,4,300,18,1
14,"Winkelman, J. E. (1989). Birds and the wind park near Urk: collision victims and disturbance of ducks, geese and swans. Arnhem, The Netherlands, Rijksinstituut voor Natuurbeheer.",Anas platyrhynchos ,2.52,3.766667,2,4,300,18,1
14,"Winkelman, J. E. (1989). Birds and the wind park near Urk: collision victims and disturbance of ducks, geese and swans. Arnhem, The Netherlands, Rijksinstituut voor Natuurbeheer.",Aythya marila ,52.7,9.3,2,4,300,18,1
